candidate_id,full_name,email,phone,role_applied,department,created_at,source_channel
a62ca7ff-8ccf-4f2c-86c7-58d9a637afc1,Liam Chaudry,bakshianvi@example.org,8196001338,Software Engineer,Sales,2026-06-07T15:03:23Z,referral
51511b1c-a5bf-4f3a-8889-953c443a564a,Arunima Ahuja,issaconi@example.org,+916542351161,Product Manager,Product,2026-05-16T21:39:34Z,internshala
557e81d4-c9e8-4c65-a68e-83d7dd8239fd,Jeet Radhakrishnan,hemangini94@example.org,+918495931034,Legal Counsel,Finance,2026-06-12T08:43:57Z,linkedin
bb6226f0-3b43-405f-b8dd-37454de57cf0,Sudiksha Patla,kaulharrison@example.com,+915534192832,Data Analyst,Data,2026-06-23T11:01:54Z,referral
b584d973-6d24-474e-97e7-0cf4dc7646c0,Ekta Bhalla,rraghavan@example.net,+910564139537,Legal Counsel,Engineering,2026-03-23T02:46:14Z,internshala
2ad14070-298d-481b-8c15-5fe9f1c637be,Yatin Yohannan,jshanker@example.com,09696532871,Frontend Engineer,Operations,2026-05-21T15:14:46Z,naukri
8a22809e-c130-4e6c-8453-8c8b31ad5c5f,Pahal Bhatt,choudharymichael@example.net,06978480184,HR Business Partner,Legal,2026-05-17T10:34:09Z,company_portal
c7420b6c-7266-4dd5-8355-a84175201f76,Aarush Lall,isaac46@example.org,2814893252,DevOps Engineer,Design,2026-06-27T23:36:37Z,naukri
1eab3584-cddf-491a-a794-646e14bb5dad,Janani Mohanty,naikvrinda@example.org,+910391171822,Sales Executive,Design,2026-04-24T04:12:52Z,referral
a4c2c53d-14ce-4f37-8e6d-80aa3d7d7286,Siddharth Zacharia,qgandhi@example.net,3465787133,Data Analyst,Product,2026-04-24T21:15:09Z,naukri
5e8d46d6-6d71-44b6-9eba-a8f026163681,Thomas Amble,nigamansh@example.net,+910310518347,Marketing Specialist,Marketing,2026-06-10T11:09:57Z,internshala
e1868bb1-7eb5-4476-a3f7-e67e7cd483df,Niharika Gupta,kevinsolanki@example.org,+911656670106,DevOps Engineer,Engineering,2026-05-08T21:08:25Z,naukri
539d430f-87f3-4aa5-bba2-3860dd9c1e3a,Logan Sami,ikbal33@example.org,+914731781080,Data Analyst,Finance,2026-03-17T02:53:34Z,linkedin
4aa93e7d-69f2-4e97-9700-adcc27b33b5c,Vasana Kala,khalsaojas@example.com,00260647468,Sales Executive,Legal,2026-03-14T01:12:04Z,company_portal
91312563-9a25-4913-b070-1eba91bdbb0f,Dalbir Bhat,mdubey@example.com,5009788208,UX Designer,Product,2026-03-09T03:14:27Z,linkedin
fd02fb20-ac17-40b0-befa-333a71247ede,Wahab Raval,grewalekapad@example.net,+919399091699,DevOps Engineer,Sales,2026-05-15T23:48:50Z,linkedin
8d17ae90-9389-4ea8-990e-a718124db925,Meghana Deep,advika35@example.org,4751079911,ML Engineer,Product,2026-05-15T01:00:46Z,naukri
aa90bf2e-3d4d-4a9f-a122-9924c6d6992d,Ekapad Konda,yashawinilanka@example.org,04278498084,HR Business Partner,Marketing,2026-05-06T06:26:45Z,referral
c6d14134-18f0-4cac-9a90-7166291266f2,Nachiket Magar,desaiaishani@example.org,09353487401,Marketing Specialist,Data,2026-04-18T08:43:42Z,company_portal
1dca675a-cd3f-4f07-aaee-77830a5846f2,Kalpit Lala,cmalhotra@example.org,+917868011280,Legal Counsel,Design,2026-06-15T09:08:13Z,internshala
287d97f1-c104-4c92-914a-0cc84a2ac425,Janya Baral,manbir62@example.org,03315869232,Product Manager,HR,2026-05-12T16:59:43Z,naukri
5961b657-7c6f-446e-8223-fd539238a9ab,Nisha Kothari,nitarabakshi@example.org,02160733754,Content Strategist,Operations,2026-05-07T19:50:56Z,referral
8a9a4e07-4997-4e6b-bd86-e8967477d6e6,Mohini Narasimhan,udantbajwa@example.net,01458685014,ML Engineer,Engineering,2026-04-27T06:37:47Z,referral
b09cbd15-3bd0-4589-90f3-46c22ab0aebb,Hemani Murthy,alkabarad@example.org,09816934060,DevOps Engineer,Marketing,2026-06-23T00:17:56Z,naukri
1d8f804f-3aae-4678-8b8b-4ed22fb73700,Dipta Dash,janujasankar@example.org,4846564823,Data Analyst,Data,2026-05-08T06:08:02Z,internshala
6cf54a7e-c2e0-4743-9d61-07814a6f43bf,Daksha Mangat,charviravi@example.net,+916995777387,UX Designer,HR,2026-04-29T03:23:30Z,naukri
2440a12d-20b5-4d72-a27f-163a42839bd7,Girik Keer,fradomander@example.net,4332003791,Product Manager,Sales,2026-04-01T03:29:32Z,referral
c53191f9-9968-4f9f-8ba1-1d4d1491dc87,Leena Talwar,osachdeva@example.net,03201632870,Frontend Engineer,Operations,2026-05-12T08:31:46Z,internshala
2e500e1b-6ff2-47da-ab7e-f53761e2dfbe,Edhitha Savant,jairajshan@example.org,8687277434,Frontend Engineer,Legal,2026-05-09T05:25:56Z,naukri
015c7077-bc3a-45b1-a614-c8df8b1d85d3,Bhavika Keer,rkhare@example.com,05581223623,Financial Analyst,Marketing,2026-03-07T22:26:11Z,referral
6f482d7e-056e-462b-8e89-7d981d617246,Ojasvi Bhatia,sachdevanikita@example.com,+916690967054,Operations Lead,HR,2026-06-02T09:13:27Z,linkedin
560d5e0d-a9c8-4893-bce9-004fc51f3fa3,Vinaya Kanda,isaini@example.net,06706562729,ML Engineer,Product,2026-06-20T02:19:07Z,referral
272e85c3-00e4-4d65-9bf3-fe88ceb87734,Krishna Shenoy,rameshavi@example.org,+910465375564,DevOps Engineer,Finance,2026-05-29T04:19:36Z,internshala
1cda7e41-8870-4b7d-be37-6c0aef7976be,Charles Palla,fkrishnan@example.com,+911003309232,Financial Analyst,Finance,2026-06-16T21:50:10Z,internshala
ffc66c8b-791c-44e3-a153-e4e046d69e2e,Aahana Pillay,kcontractor@example.org,+919912419049,Operations Lead,Sales,2026-03-30T08:37:34Z,internshala
d1ffdbbf-b5de-4b91-9409-5bd567f0f846,Xavier Chaudry,tranganathan@example.org,4919058651,Backend Engineer,Product,2026-06-27T00:23:29Z,internshala
fe2f698b-fcc4-4f91-8386-c4ca4e2879c8,Janaki Sharaf,advik67@example.org,2628498776,DevOps Engineer,Marketing,2026-05-08T10:24:05Z,linkedin
d1ff448c-c779-42fb-9183-e599aea7fb9d,Yagnesh Shetty,ekantika31@example.com,9650752735,Financial Analyst,Design,2026-05-03T06:05:13Z,naukri
d0cb8438-65f5-4bff-9f4b-4aee2650e95b,Advaith Varughese,harini49@example.net,+911367837770,Frontend Engineer,Sales,2026-06-28T14:46:21Z,internshala
675284da-8f5f-4057-9d16-062ce7c5e795,Damini Pillay,menontimothy@example.com,08856855744,Operations Lead,Product,2026-05-25T13:19:07Z,company_portal
ee8fd3c6-edbf-4a2d-b910-f9fd07fea779,Qasim Handa,vihaan13@example.com,+917498941343,Legal Counsel,Data,2026-03-22T16:00:59Z,referral
